"time","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y","r_11.y","r_22.y","y_11.y","y_22.y"
94,5.3014,7.17926e-10,5.29412,1.33227e-15,1,0,1,0
95,5.3014,7.17824e-10,5.29412,1.33227e-15,1,0,1,0
96,5.3014,7.17722e-10,5.29412,1.33227e-15,1,0,1,0
97,5.3014,7.17621e-10,5.29412,1.33227e-15,1,0,1,0
98,5.3014,7.17519e-10,5.29412,1.33227e-15,1,0,1,0
99,5.3014,7.17417e-10,5.29412,1.33227e-15,1,0,1,0
100,5.3014,7.17315e-10,5.29412,1.33227e-15,1,0,1,0
100,5.3014,7.17315e-10,5.29412,1.33227e-15,1,0,1,0
100,5.3014,7.17315e-10,5.29412,1.33227e-15,1,0,1,0
100,5.3014,7.17315e-10,5.29412,1.33227e-15,0,1,1,0
101,6.3524,1.01956,4.24311,1.01956,0,1,1.06908,-0.0145591
102,7.38847,1.9976,3.20705,1.9976,0,1,0.985703,0.0677436
103,8.30225,2.87371,2.29327,2.87371,0,1,0.8363,0.182271
104,9.05701,3.63219,1.5385,3.63219,0,1,0.673844,0.29994
105,9.65442,4.27689,0.941091,4.27689,0,1,0.524348,0.408656
106,10.1136,4.81928,0.481955,4.81928,0,1,0.398142,0.504277
107,10.4592,5.2729,0.136357,5.2729,0,1,0.297159,0.58626
108,10.7156,5.65099,-0.120078,5.65099,0,1,0.219274,0.655568
109,10.9042,5.96549,-0.308657,5.96549,0,1,0.160779,0.713698
110,11.0423,6.22679,-0.446767,6.22679,0,1,0.117692,0.762227
111,11.1435,6.44374,-0.547962,6.44374,0,1,0.0863897,0.802633
112,11.218,6.6238,-0.622461,6.6238,0,1,0.0638515,0.836224
113,11.2733,6.77319,-0.677784,6.77319,0,1,0.0476913,0.864122
114,11.3149,6.89713,-0.719361,6.89713,0,1,0.0360982,0.88728
115,11.3466,6.99994,-0.751054,6.99994,0,1,0.0277376,0.906497
116,11.3711,7.08523,-0.77559,7.08523,0,1,0.0216482,0.92244
117,11.3904,7.15597,-0.794879,7.15597,0,1,0.0171509,0.935667
118,11.4058,7.21465,-0.810263,7.21465,0,1,0.0137722,0.946639
119,11.4182,7.26331,-0.822686,7.26331,0,1,0.0111857,0.955739
120,11.4283,7.30368,-0.832823,7.30368,0,1,0.00916795,0.963288
121,11.4367,7.33717,-0.84116,7.33717,0,1,0.00756574,0.96955
122,11.4436,7.36494,-0.848058,7.36494,0,1,0.00627389,0.974743
123,11.4493,7.38798,-0.853787,7.38798,0,1,0.00521929,0.979051
124,11.4541,7.40708,-0.858558,7.40708,0,1,0.00435021,0.982624
125,11.458,7.42293,-0.862537,7.42293,0,1,0.00362924,0.985588
126,11.4614,7.43608,-0.865856,7.43608,0,1,0.00302851,0.988046
127,11.4641,7.44698,-0.868626,7.44698,0,1,0.0025267,0.990085
128,11.4665,7.45602,-0.870937,7.45602,0,1,0.00210702,0.991776
129,11.4684,7.46352,-0.872863,7.46352,0,1,0.00175592,0.993179
130,11.47,7.46974,-0.874468,7.46974,0,1,0.00146231,0.994342
131,11.4713,7.4749,-0.875804,7.4749,0,1,0.00121695,0.995307
132,11.4724,7.47918,-0.876915,7.47918,0,1,0.0010121,0.996107
133,11.4734,7.48274,-0.87784,7.48274,0,1,0.000841244,0.996771
134,11.4741,7.48568,-0.878607,7.48568,0,1,0.000698877,0.997322
135,11.4748,7.48812,-0.879245,7.48812,0,1,0.000580358,0.997779
136,11.4753,7.49015,-0.879775,7.49015,0,1,0.000481771,0.998158
137,11.4757,7.49183,-0.880214,7.49183,0,1,0.000399821,0.998472
138,11.4761,7.49322,-0.880579,7.49322,0,1,0.00033174,0.998733
139,11.4764,7.49438,-0.880882,7.49438,0,1,0.000275208,0.998949
140,11.4766,7.49534,-0.881133,7.49534,0,1,0.000228283,0.999128
141,11.4769,7.49613,-0.881341,7.49613,0,1,0.000189344,0.999277
142,11.477,7.49679,-0.881514,7.49679,0,1,0.00015704,0.9994
143,11.4772,7.49734,-0.881657,7.49734,0,1,0.000130243,0.999502
144,11.4773,7.49779,-0.881776,7.49779,0,1,0.000108017,0.999587
145,11.4774,7.49817,-0.881874,7.49817,0,1,8.95834e-5,0.999658
146,11.4775,7.49848,-0.881956,7.49848,0,1,7.42961e-5,0.999716
147,11.4775,7.49874,-0.882024,7.49874,0,1,6.16182e-5,0.999764
148,11.4776,7.49896,-0.88208,7.49896,0,1,5.11042e-5,0.999805
149,11.4776,7.49913,-0.882126,7.49913,0,1,4.23848e-5,0.999838
150,11.4777,7.49928,-0.882165,7.49928,0,1,3.51536e-5,0.999866
151,11.4777,7.4994,-0.882197,7.4994,0,1,2.91564e-5,0.999889
152,11.4777,7.49951,-0.882224,7.49951,0,1,2.41826e-5,0.999908
153,11.4778,7.49959,-0.882246,7.49959,0,1,2.00574e-5,0.999923
