"time","IAE_1.y","IAE_2.y","IE1.y","IE2.y","r_11.y","r_22.y","y_11.y","y_22.y"
237,13.9999,0.667506,4.6666,7.18769e-13,1,0,0.99998,1.82299e-12
238,13.9999,0.667506,4.66661,1.74405e-12,1,0,0.999985,4.64295e-12
239,14,0.667506,4.66663,-2.64257e-12,1,0,0.999989,-1.30829e-11
240,14,0.667506,4.66664,-7.0986e-12,1,0,0.999992,-2.45892e-11
241,14,0.667506,4.66664,5.57187e-12,1,0,0.999994,1.70766e-11
242,14,0.667506,4.66665,9.70183e-13,1,0,0.999995,2.67075e-12
243,14,0.667506,4.66665,-3.82852e-12,1,0,0.999996,-1.03393e-11
244,14,0.667506,4.66666,-1.62068e-12,1,0,0.999997,-5.0866e-12
245,14,0.667506,4.66666,6.25e-12,1,0,0.999998,1.73146e-11
246,14,0.667506,4.66666,6.79822e-13,1,0,0.999998,3.55271e-15
247,14,0.667506,4.66666,-7.02121e-12,1,0,0.999999,-1.83182e-11
248,14,0.667506,4.66666,3.59534e-12,1,0,0.999999,1.05254e-11
249,14,0.667506,4.66666,-4.01734e-13,1,0,0.999999,-2.54818e-12
250,14,0.667506,4.66666,1.66448e-12,1,0,1,7.3217e-12
251,14,0.667506,4.66667,-1.67865e-13,1,0,1,2.28528e-12
252,14,0.667506,4.66667,1.0625e-13,1,0,1,5.64881e-13
253,14,0.667506,4.66667,-2.92403e-13,1,0,1,-7.61613e-13
254,14,0.667506,4.66667,-1.14441e-13,1,0,1,-7.59837e-13
255,14,0.667506,4.66667,5.37836e-13,1,0,1,1.65201e-12
256,14,0.667506,4.66667,-1.82207e-12,1,0,1,-5.64171e-12
257,14,0.667506,4.66667,4.06215e-12,1,0,1,1.16325e-11
258,14,0.667506,4.66667,-7.50844e-13,1,0,1,4.28546e-13
259,14,0.667506,4.66667,-3.09565e-13,1,0,1,-1.56319e-12
260,14,0.667506,4.66667,3.1247e-12,1,0,1,1.07736e-11
261,14,0.667506,4.66667,-4.02115e-12,1,0,1,-1.15286e-11
262,14,0.667506,4.66667,3.76585e-12,1,0,1,1.07265e-11
263,14,0.667506,4.66667,-4.43811e-13,1,0,1,1.28342e-12
264,14,0.667506,4.66667,-2.31268e-12,1,0,1,-8.30047e-12
265,14,0.667506,4.66667,1.34643e-12,1,0,1,2.70628e-12
266,14,0.667506,4.66667,-1.28873e-12,1,0,1,-3.23164e-12
267,14,0.667506,4.66667,2.85865e-13,1,0,1,2.24087e-12
268,14,0.667506,4.66667,4.81506e-12,1,0,1,1.77902e-11
269,14,0.667506,4.66667,4.81852e-12,1,0,1,2.03531e-11
270,14,0.667506,4.66667,-1.0649e-12,1,0,1,1.33138e-12
271,14,0.667506,4.66667,-5.53213e-12,1,0,1,-1.75042e-11
272,14,0.667506,4.66667,-2.50463e-12,1,0,1,-1.09739e-11
273,14,0.667506,4.66667,1.70535e-12,1,0,1,3.57669e-12
274,14,0.667506,4.66667,2.82224e-12,1,0,1,1.01514e-11
275,14,0.667506,4.66667,8.0844e-13,1,0,1,5.0302e-12
276,14,0.667506,4.66667,-4.38626e-13,1,0,1,-1.00808e-13
277,14,0.667506,4.66667,-2.48838e-13,1,0,1,-3.43281e-13
278,14,0.667506,4.66667,-7.91077e-14,1,0,1,-1.47438e-13
279,14,0.667506,4.66667,-1.39612e-14,1,0,1,-3.28626e-14
280,14,0.667506,4.66667,-3.67065e-15,1,0,1,-1.02141e-14
281,14,0.667506,4.66667,-3.61368e-16,1,0,1,-1.77636e-15
282,14,0.667506,4.66667,1.43306e-16,1,0,1,-4.44089e-16
283,14,0.667506,4.66667,3.36677e-16,1,0,1,0
284,14,0.667506,4.66667,3.26203e-16,1,0,1,0
285,14,0.667506,4.66667,2.90612e-16,1,0,1,0
286,14,0.667506,4.66667,2.46031e-16,1,0,1,0
287,14,0.667506,4.66667,2.32136e-16,1,0,1,0
288,14,0.667506,4.66667,2.17855e-16,1,0,1,0
289,14,0.667506,4.66667,2.10212e-16,1,0,1,0
290,14,0.667506,4.66667,2.0708e-16,1,0,1,0
