"time","r_11.y","r_22.y","y_11.y","y_22.y","IE_2.y","IE_1.y","IAE_1.y","IAE_2.y"
127,0,1,0.0324622,0.954782,0.674103,-0.467981,11.9094,12.512
128,0,1,-0.0154707,1.0039,0.695521,-0.476147,11.923,12.5337
129,0,1,-0.0404136,1.03914,0.671208,-0.445063,11.954,12.5581
130,0,1,-0.0271804,1.03499,0.630835,-0.408469,11.9906,12.5984
131,0,1,0.00518002,1.0034,0.610607,-0.397208,12.0027,12.6187
132,0,1,0.0262835,0.975952,0.622512,-0.414873,12.0204,12.6309
133,0,1,0.0214935,0.973969,0.649896,-0.440843,12.0464,12.6583
134,0,1,0.000339951,0.993503,0.667201,-0.452272,12.0578,12.6756
135,0,1,-0.016473,1.01404,0.66261,-0.443076,12.067,12.682
136,0,1,-0.0162748,1.01872,0.64462,-0.425204,12.0849,12.6999
137,0,1,-0.00293797,1.00722,0.630726,-0.415024,12.0951,12.7138
138,0,1,0.00986822,0.992381,0.631287,-0.419104,12.0997,12.7177
139,0,1,0.0118871,0.986951,0.642695,-0.431027,12.1116,12.7291
140,0,1,0.00383745,0.993275,0.653343,-0.439425,12.12,12.7397
141,0,1,-0.00556386,1.00367,0.654772,-0.438265,12.1226,12.7425
142,0,1,-0.00840723,1.00882,0.647837,-0.430572,12.1303,12.7495
143,0,1,-0.00382066,1.00571,0.639979,-0.424003,12.1368,12.7573
144,0,1,0.00285963,0.998649,0.637765,-0.423633,12.1386,12.7598
145,0,1,0.00576603,0.994227,0.641756,-0.428409,12.1433,12.7638
146,0,1,0.003368,0.995445,0.647366,-0.43334,12.1483,12.7694
147,0,1,-0.00123469,1.00009,0.649698,-0.434398,12.1497,12.7718
148,0,1,-0.00383297,1.00365,0.647578,-0.431571,12.1525,12.7739
149,0,1,-0.00275975,1.00347,0.643695,-0.427997,12.1561,12.7778
150,0,1,0.00031456,1.00053,0.641579,-0.426733,12.1574,12.7799
151,0,1,0.00246324,0.997796,0.642558,-0.428299,12.1589,12.7809
152,0,1,0.00214794,0.997446,0.645163,-0.430809,12.1615,12.7835
153,0,1,0.000161706,0.999241,0.646931,-0.432024,12.1627,12.7853
154,0,1,-0.00152208,1.00126,0.646611,-0.431243,12.1635,12.7859
155,0,1,-0.00160563,1.00182,0.644918,-0.429533,12.1652,12.7876
156,0,1,-0.000370461,1.00078,0.643524,-0.428483,12.1662,12.789
157,0,1,0.00089524,0.999339,0.643491,-0.428799,12.1666,12.7893
