"time","r_11.y","r_22.y","y_11.y","y_22.y","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y"
130,1,0,0.992477,0.000513587,20.4934,3.40016,20.4934,0.0142461
131,1,0,0.992688,0.000493536,20.5009,3.40066,20.5009,0.0137425
132,1,0,0.992893,0.000474457,20.5081,3.40114,20.5081,0.0132585
133,1,0,0.993092,0.00045629,20.5151,3.40161,20.5151,0.0127931
134,1,0,0.993286,0.00043898,20.5219,3.40206,20.5219,0.0123455
135,1,0,0.993473,0.000422475,20.5285,3.40249,20.5285,0.0119148
136,1,0,0.993656,0.00040673,20.5349,3.4029,20.5349,0.0115002
137,1,0,0.993833,0.000391694,20.5412,3.4033,20.5412,0.011101
138,1,0,0.994006,0.000377328,20.5473,3.40369,20.5473,0.0107165
139,1,0,0.994173,0.000363592,20.5532,3.40406,20.5532,0.010346
140,1,0,0.994336,0.000350454,20.5589,3.40441,20.5589,0.00998898
141,1,0,0.994494,0.000337876,20.5645,3.40476,20.5645,0.00964481
142,1,0,0.994647,0.000325827,20.57,3.40509,20.57,0.00931296
143,1,0,0.994796,0.00031428,20.5752,3.40541,20.5752,0.00899291
144,1,0,0.994941,0.000303209,20.5804,3.40572,20.5804,0.00868416
145,1,0,0.995082,0.000292584,20.5854,3.40602,20.5854,0.00838627
146,1,0,0.995219,0.000282383,20.5902,3.4063,20.5902,0.00809878
147,1,0,0.995352,0.000272581,20.5949,3.40658,20.5949,0.0078213
148,1,0,0.995481,0.00026316,20.5995,3.40685,20.5995,0.00755343
149,1,0,0.995607,0.0002541,20.604,3.40711,20.604,0.0072948
150,1,0,0.995729,0.000245382,20.6083,3.40736,20.6083,0.00704506
151,1,0,0.995848,0.000236994,20.6125,3.4076,20.6125,0.00680387
152,1,0,0.995963,0.000228914,20.6166,3.40783,20.6166,0.00657092
153,1,0,0.996075,0.000221131,20.6206,3.40806,20.6206,0.0063459
154,1,0,0.996184,0.000213631,20.6244,3.40827,20.6244,0.00612852
155,1,0,0.99629,0.000206401,20.6282,3.40848,20.6282,0.0059185
156,1,0,0.996393,0.000199429,20.6319,3.40869,20.6319,0.00571559
157,1,0,0.996493,0.000192702,20.6354,3.40888,20.6354,0.00551952
158,1,0,0.99659,0.000186213,20.6389,3.40907,20.6389,0.00533006
159,1,0,0.996684,0.000179946,20.6422,3.40926,20.6422,0.00514698
