"time","r_11.y","r_22.y","y_11.y","y_22.y","IE_1.y","IE_2.y","IAE_1.y","IAE_2.y"
263,1,0,0.999976,4.43964e-5,7.21833,-10.2273,7.21833,10.2273
264,1,0,0.999977,4.30256e-5,7.21836,-10.2274,7.21836,10.2274
265,1,0,0.999978,4.16973e-5,7.21838,-10.2274,7.21838,10.2274
266,1,0,0.999978,4.04099e-5,7.2184,-10.2275,7.2184,10.2275
267,1,0,0.999979,3.91626e-5,7.21842,-10.2275,7.21842,10.2275
268,1,0,0.99998,3.79539e-5,7.21845,-10.2275,7.21845,10.2275
269,1,0,0.99998,3.6783e-5,7.21847,-10.2276,7.21847,10.2276
270,1,0,0.999981,3.56469e-5,7.21848,-10.2276,7.21848,10.2276
271,1,0,0.999981,3.45463e-5,7.2185,-10.2276,7.2185,10.2276
272,1,0,0.999982,3.34802e-5,7.21852,-10.2277,7.21852,10.2277
273,1,0,0.999983,3.24465e-5,7.21854,-10.2277,7.21854,10.2277
274,1,0,0.999983,3.14452e-5,7.21856,-10.2277,7.21856,10.2277
275,1,0,0.999984,3.04746e-5,7.21857,-10.2278,7.21857,10.2278
276,1,0,0.999984,2.9534e-5,7.21859,-10.2278,7.21859,10.2278
277,1,0,0.999985,2.86224e-5,7.21861,-10.2278,7.21861,10.2278
278,1,0,0.999985,2.77398e-5,7.21862,-10.2279,7.21862,10.2279
279,1,0,0.999986,2.6884e-5,7.21864,-10.2279,7.21864,10.2279
280,1,0,0.999986,2.60549e-5,7.21865,-10.2279,7.21865,10.2279
281,1,0,0.999986,2.52506e-5,7.21866,-10.2279,7.21866,10.2279
282,1,0,0.999987,2.44706e-5,7.21868,-10.228,7.21868,10.228
283,1,0,0.999987,2.37151e-5,7.21869,-10.228,7.21869,10.228
284,1,0,0.999988,2.29828e-5,7.2187,-10.228,7.2187,10.228
285,1,0,0.999988,2.22737e-5,7.21871,-10.228,7.21871,10.228
286,1,0,0.999988,2.15867e-5,7.21873,-10.2281,7.21873,10.2281
287,1,0,0.999989,2.09207e-5,7.21874,-10.2281,7.21874,10.2281
288,1,0,0.999989,2.02754e-5,7.21875,-10.2281,7.21875,10.2281
289,1,0,0.999989,1.965e-5,7.21876,-10.2281,7.21876,10.2281
290,1,0,0.99999,1.90441e-5,7.21877,-10.2281,7.21877,10.2281
291,1,0,0.99999,1.84573e-5,7.21878,-10.2282,7.21878,10.2282
292,1,0,0.99999,1.78884e-5,7.21879,-10.2282,7.21879,10.2282
293,1,0,0.999991,1.73369e-5,7.2188,-10.2282,7.2188,10.2282
294,1,0,0.999991,1.6802e-5,7.21881,-10.2282,7.21881,10.2282
295,1,0,0.999991,1.62843e-5,7.21882,-10.2282,7.21882,10.2282
296,1,0,0.999992,1.57822e-5,7.21883,-10.2282,7.21883,10.2282
297,1,0,0.999992,1.5296e-5,7.21883,-10.2283,7.21883,10.2283
298,1,0,0.999992,1.48245e-5,7.21884,-10.2283,7.21884,10.2283
299,1,0,0.999992,1.4367e-5,7.21885,-10.2283,7.21885,10.2283
300,1,0,0.999993,1.39238e-5,7.21886,-10.2283,7.21886,10.2283
301,1,0,0.999993,1.34946e-5,7.21887,-10.2283,7.21887,10.2283
302,1,0,0.999993,1.30786e-5,7.21887,-10.2283,7.21887,10.2283
303,1,0,0.999993,1.26753e-5,7.21888,-10.2283,7.21888,10.2283
304,1,0,0.999993,1.22844e-5,7.21889,-10.2283,7.21889,10.2283
305,1,0,0.999994,1.19057e-5,7.21889,-10.2284,7.21889,10.2284
306,1,0,0.999994,1.15388e-5,7.2189,-10.2284,7.2189,10.2284
307,1,0,0.999994,1.11844e-5,7.2189,-10.2284,7.2189,10.2284
308,1,0,0.999994,1.08399e-5,7.21891,-10.2284,7.21891,10.2284
309,1,0,0.999994,1.05059e-5,7.21892,-10.2284,7.21892,10.2284
310,1,0,0.999995,1.01815e-5,7.21892,-10.2284,7.21892,10.2284
311,1,0,0.999995,9.86767e-6,7.21893,-10.2284,7.21893,10.2284
312,1,0,0.999995,9.56431e-6,7.21893,-10.2284,7.21893,10.2284
313,1,0,0.999995,9.26933e-6,7.21894,-10.2284,7.21894,10.2284
314,1,0,0.999995,8.98367e-6,7.21894,-10.2285,7.21894,10.2285
315,1,0,0.999995,8.7069e-6,7.21895,-10.2285,7.21895,10.2285
316,1,0,0.999995,8.43907e-6,7.21895,-10.2285,7.21895,10.2285
317,1,0,0.999996,8.17928e-6,7.21896,-10.2285,7.21896,10.2285
318,1,0,0.999996,7.92721e-6,7.21896,-10.2285,7.21896,10.2285
319,1,0,0.999996,7.68273e-6,7.21897,-10.2285,7.21897,10.2285
320,1,0,0.999996,7.44585e-6,7.21897,-10.2285,7.21897,10.2285
321,1,0,0.999996,7.21657e-6,7.21897,-10.2285,7.21897,10.2285
322,1,0,0.999996,6.99581e-6,7.21898,-10.2285,7.21898,10.2285
323,1,0,0.999996,6.78049e-6,7.21898,-10.2285,7.21898,10.2285
324,1,0,0.999996,6.5712e-6,7.21898,-10.2285,7.21898,10.2285
325,1,0,0.999997,6.36908e-6,7.21899,-10.2285,7.21899,10.2285
326,1,0,0.999997,6.17227e-6,7.21899,-10.2285,7.21899,10.2285
327,1,0,0.999997,5.98235e-6,7.21899,-10.2285,7.21899,10.2285
328,1,0,0.999997,5.79856e-6,7.219,-10.2286,7.219,10.2286
329,1,0,0.999997,5.62005e-6,7.219,-10.2286,7.219,10.2286
330,1,0,0.999997,5.44727e-6,7.219,-10.2286,7.219,10.2286
331,1,0,0.999997,5.27901e-6,7.21901,-10.2286,7.21901,10.2286
332,1,0,0.999997,5.11639e-6,7.21901,-10.2286,7.21901,10.2286
333,1,0,0.999997,4.95874e-6,7.21901,-10.2286,7.21901,10.2286
334,1,0,0.999997,4.80571e-6,7.21901,-10.2286,7.21901,10.2286
335,1,0,0.999997,4.65741e-6,7.21902,-10.2286,7.21902,10.2286
336,1,0,0.999998,4.51381e-6,7.21902,-10.2286,7.21902,10.2286
337,1,0,0.999998,4.37431e-6,7.21902,-10.2286,7.21902,10.2286
338,1,0,0.999998,4.24039e-6,7.21902,-10.2286,7.21902,10.2286
339,1,0,0.999998,4.11019e-6,7.21903,-10.2286,7.21903,10.2286
340,1,0,0.999998,3.98432e-6,7.21903,-10.2286,7.21903,10.2286
341,1,0,0.999998,3.86212e-6,7.21903,-10.2286,7.21903,10.2286
342,1,0,0.999998,3.74425e-6,7.21903,-10.2286,7.21903,10.2286
343,1,0,0.999998,3.62983e-6,7.21903,-10.2286,7.21903,10.2286
344,1,0,0.999998,3.51816e-6,7.21904,-10.2286,7.21904,10.2286
345,1,0,0.999998,3.40911e-6,7.21904,-10.2286,7.21904,10.2286
346,1,0,0.999998,3.30376e-6,7.21904,-10.2286,7.21904,10.2286
347,1,0,0.999998,3.20142e-6,7.21904,-10.2286,7.21904,10.2286
348,1,0,0.999998,3.10282e-6,7.21904,-10.2286,7.21904,10.2286
349,1,0,0.999998,3.00684e-6,7.21905,-10.2286,7.21905,10.2286
350,1,0,0.999998,2.91407e-6,7.21905,-10.2286,7.21905,10.2286
351,1,0,0.999998,2.82447e-6,7.21905,-10.2287,7.21905,10.2287
352,1,0,0.999999,2.73713e-6,7.21905,-10.2287,7.21905,10.2287
