"time","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y","r_11.y","r_22.y","y_11.y","y_22.y"
1664,12.0416,11.5179,1.00484e-10,9.87244,0,1,2.21667e-11,1
1665,12.0416,11.5179,1.06038e-10,9.87244,0,1,2.3465e-11,1
1666,12.0416,11.5179,1.11593e-10,9.87244,0,1,2.47632e-11,1
1667,12.0416,11.5179,1.17147e-10,9.87244,0,1,2.60615e-11,1
1668,12.0416,11.5179,1.22701e-10,9.87244,0,1,2.73597e-11,1
1669,12.0416,11.5179,1.28255e-10,9.87244,0,1,2.8658e-11,1
1670,12.0416,11.5179,1.3381e-10,9.87244,0,1,2.99562e-11,1
1671,12.0416,11.5179,1.0797e-10,9.87244,0,1,3.12545e-11,1
1672,12.0416,11.5179,7.91357e-11,9.87244,0,1,2.57489e-11,1
1673,12.0416,11.5179,5.03015e-11,9.87244,0,1,1.95943e-11,1
1674,12.0416,11.5179,2.14672e-11,9.87244,0,1,1.34397e-11,1
1675,12.0416,11.5179,-7.36701e-12,9.87244,0,1,7.28506e-12,1
1676,12.0416,11.5179,-3.62012e-11,9.87244,0,1,1.13045e-12,1
1677,12.0416,11.5179,-6.50355e-11,9.87244,0,1,-5.02416e-12,1
1678,12.0416,11.5179,-9.38697e-11,9.87244,0,1,-1.11788e-11,1
1679,12.0416,11.5179,-1.22704e-10,9.87244,0,1,-1.73334e-11,1
1680,12.0416,11.5179,-1.51538e-10,9.87244,0,1,-2.3488e-11,1
1681,12.0416,11.5179,-1.80372e-10,9.87244,0,1,-2.96426e-11,1
1682,12.0416,11.5179,-2.09207e-10,9.87244,0,1,-3.57972e-11,1
1683,12.0416,11.5179,-2.38041e-10,9.87244,0,1,-4.19518e-11,1
1684,12.0416,11.5179,-2.66875e-10,9.87244,0,1,-4.81064e-11,1
1685,12.0416,11.5179,-2.76314e-10,9.87244,0,1,-5.4261e-11,1
1686,12.0416,11.5179,-2.32779e-10,9.87244,0,1,-5.66568e-11,1
1687,12.0416,11.5179,-1.89244e-10,9.87244,0,1,-4.8786e-11,1
1688,12.0416,11.5179,-1.45709e-10,9.87244,0,1,-4.09152e-11,1
1689,12.0416,11.5179,-1.02174e-10,9.87244,0,1,-3.30443e-11,1
1690,12.0416,11.5179,-5.86389e-11,9.87244,0,1,-2.51735e-11,1
1691,12.0416,11.5179,-1.51038e-11,9.87244,0,1,-1.73026e-11,1
1692,12.0416,11.5179,2.38034e-11,9.87244,0,1,-9.4318e-12,1
1693,12.0416,11.5179,4.68207e-11,9.87244,0,1,-2.21845e-12,1
1694,12.0416,11.5179,6.9838e-11,9.87244,0,1,2.7374e-12,1
1695,12.0416,11.5179,9.28553e-11,9.87244,0,1,7.69325e-12,1
1696,12.0416,11.5179,1.15873e-10,9.87244,0,1,1.26491e-11,1
1697,12.0416,11.5179,1.3889e-10,9.87244,0,1,1.76049e-11,1
1698,12.0416,11.5179,1.61907e-10,9.87244,0,1,2.25608e-11,1
1699,12.0416,11.5179,1.45546e-10,9.87244,0,1,2.75166e-11,1
1700,12.0416,11.5179,1.24185e-10,9.87244,0,1,2.48975e-11,1
1701,12.0416,11.5179,1.02825e-10,9.87244,0,1,2.13167e-11,1
1702,12.0416,11.5179,8.14648e-11,9.87244,0,1,1.77359e-11,1
1703,12.0416,11.5179,6.01045e-11,9.87244,0,1,1.41552e-11,1
1704,12.0416,11.5179,3.87441e-11,9.87244,0,1,1.05744e-11,1
1705,12.0416,11.5179,2.21586e-11,9.87244,0,1,6.99362e-12,1
1706,12.0416,11.5179,9.49303e-12,9.87244,0,1,4.06388e-12,1
1707,12.0416,11.5179,-3.17252e-12,9.87244,0,1,1.66861e-12,1
1708,12.0416,11.5179,-1.58381e-11,9.87244,0,1,-7.26657e-13,1
1709,12.0416,11.5179,-2.85036e-11,9.87244,0,1,-3.12192e-12,1
1710,12.0416,11.5179,-4.11692e-11,9.87244,0,1,-5.51719e-12,1
1711,12.0416,11.5179,-5.04293e-11,9.87244,0,1,-7.91246e-12,1
1712,12.0416,11.5179,-4.69516e-11,9.87244,0,1,-9.67567e-12,1
1713,12.0416,11.5179,-4.34739e-11,9.87244,0,1,-9.07479e-12,1
1714,12.0416,11.5179,-3.99962e-11,9.87244,0,1,-8.4739e-12,1
1715,12.0416,11.5179,-3.65185e-11,9.87244,0,1,-7.87302e-12,1
1716,12.0416,11.5179,-3.30408e-11,9.87244,0,1,-7.27213e-12,1
1717,12.0416,11.5179,-2.95631e-11,9.87244,0,1,-6.67125e-12,1
1718,12.0416,11.5179,-2.60854e-11,9.87244,0,1,-6.07037e-12,1
1719,12.0416,11.5179,-2.26078e-11,9.87244,0,1,-5.46948e-12,1
1720,12.0416,11.5179,-1.91301e-11,9.87244,0,1,-4.8686e-12,1
1721,12.0416,11.5179,-1.56524e-11,9.87244,0,1,-4.26771e-12,1
1722,12.0416,11.5179,-1.21747e-11,9.87244,0,1,-3.66683e-12,1
1723,12.0416,11.5179,-8.697e-12,9.87244,0,1,-3.06594e-12,1
1724,12.0416,11.5179,-5.16709e-12,9.87244,0,1,-2.46506e-12,1
1725,12.0416,11.5179,-1.59171e-12,9.87244,0,1,-1.76829e-12,1
1726,12.0416,11.5179,1.98367e-12,9.87244,0,1,-9.88022e-13,1
1727,12.0416,11.5179,5.55905e-12,9.87244,0,1,-2.07758e-13,1
1728,12.0416,11.5179,9.13444e-12,9.87244,0,1,5.72507e-13,1
1729,12.0416,11.5179,1.27098e-11,9.87244,0,1,1.35277e-12,1
1730,12.0416,11.5179,1.62852e-11,9.87244,0,1,2.13304e-12,1
1731,12.0416,11.5179,1.98606e-11,9.87244,0,1,2.9133e-12,1
1732,12.0416,11.5179,2.3436e-11,9.87244,0,1,3.69357e-12,1
1733,12.0416,11.5179,2.70113e-11,9.87244,0,1,4.47383e-12,1
1734,12.0416,11.5179,3.05867e-11,9.87244,0,1,5.25409e-12,1
1735,12.0416,11.5179,3.41621e-11,9.87244,0,1,6.03436e-12,1
1736,12.0416,11.5179,3.77375e-11,9.87244,0,1,6.81462e-12,1
1737,12.0416,11.5179,3.30137e-11,9.87244,0,1,7.59489e-12,1
1738,12.0416,11.5179,2.69181e-11,9.87244,0,1,6.53674e-12,1
1739,12.0416,11.5179,2.08226e-11,9.87244,0,1,5.17473e-12,1
1740,12.0416,11.5179,1.4727e-11,9.87244,0,1,3.81271e-12,1
1741,12.0416,11.5179,8.63143e-12,9.87244,0,1,2.45069e-12,1
1742,12.0416,11.5179,2.53586e-12,9.87244,0,1,1.08867e-12,1
1743,12.0416,11.5179,-3.55971e-12,9.87244,0,1,-2.73345e-13,1
1744,12.0416,11.5179,-9.65528e-12,9.87244,0,1,-1.63536e-12,1
1745,12.0416,11.5179,-1.57508e-11,9.87244,0,1,-2.99738e-12,1
1746,12.0416,11.5179,-2.18464e-11,9.87244,0,1,-4.3594e-12,1
1747,12.0416,11.5179,-2.7942e-11,9.87244,0,1,-5.72141e-12,1
1748,12.0416,11.5179,-3.40376e-11,9.87244,0,1,-7.08343e-12,1
1749,12.0416,11.5179,-4.01331e-11,9.87244,0,1,-8.44545e-12,1
1750,12.0416,11.5179,-4.62287e-11,9.87244,0,1,-9.80747e-12,1
1751,12.0416,11.5179,-5.23243e-11,9.87244,0,1,-1.11695e-11,1
1752,12.0416,11.5179,-5.84198e-11,9.87244,0,1,-1.25315e-11,1
1753,12.0416,11.5179,-6.45154e-11,9.87244,0,1,-1.38935e-11,1
1754,12.0416,11.5179,-7.0611e-11,9.87244,0,1,-1.52555e-11,1
1755,12.0416,11.5179,-7.67065e-11,9.87244,0,1,-1.66176e-11,1
1756,12.0416,11.5179,-8.28021e-11,9.87244,0,1,-1.79796e-11,1
1757,12.0416,11.5179,-8.88977e-11,9.87244,0,1,-1.93416e-11,1
1758,12.0416,11.5179,-9.49932e-11,9.87244,0,1,-2.07036e-11,1
1759,12.0416,11.5179,-1.01089e-10,9.87244,0,1,-2.20656e-11,1
1760,12.0416,11.5179,-1.07184e-10,9.87244,0,1,-2.34276e-11,1
1761,12.0416,11.5179,-1.1328e-10,9.87244,0,1,-2.47897e-11,1
1762,12.0416,11.5179,-1.04363e-10,9.87244,0,1,-2.61517e-11,1
1763,12.0416,11.5179,-8.07529e-11,9.87244,0,1,-2.42948e-11,1
1764,12.0416,11.5179,-5.71424e-11,9.87244,0,1,-1.92871e-11,1
1765,12.0416,11.5179,-3.35319e-11,9.87244,0,1,-1.42795e-11,1
1766,12.0416,11.5179,-9.92138e-12,9.87244,0,1,-9.27185e-12,1
1767,12.0416,11.5179,1.36891e-11,9.87244,0,1,-4.26421e-12,1
1768,12.0416,11.5179,3.72996e-11,9.87244,0,1,7.43423e-13,1
1769,12.0416,11.5179,6.09101e-11,9.87244,0,1,5.75106e-12,1
1770,12.0416,11.5179,8.45206e-11,9.87244,0,1,1.07587e-11,1
1771,12.0416,11.5179,1.08131e-10,9.87244,0,1,1.57663e-11,1
1772,12.0416,11.5179,1.31742e-10,9.87244,0,1,2.0774e-11,1
1773,12.0416,11.5179,1.55352e-10,9.87244,0,1,2.57816e-11,1
1774,12.0416,11.5179,1.78963e-10,9.87244,0,1,3.07892e-11,1
1775,12.0416,11.5179,2.02573e-10,9.87244,0,1,3.57969e-11,1
1776,12.0416,11.5179,2.20442e-10,9.87244,0,1,4.08045e-11,1
1777,12.0416,11.5179,1.88547e-10,9.87244,0,1,4.46885e-11,1
1778,12.0416,11.5179,1.56653e-10,9.87244,0,1,3.88346e-11,1
