"time","y_11.y","y_22.y","u_11.y","u_22.y","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y"
97,0.998195,-0.00474271,0.156614,0.0533172,6.93258,16.4671,1.82892,-0.0748106
98,0.997881,-0.0044098,0.156889,0.0531216,6.93454,16.4717,1.83088,-0.0702344
99,0.997784,-0.00408941,0.157045,0.0530237,6.93671,16.4759,1.83305,-0.0659848
100,0.997979,-0.00375997,0.157013,0.0530564,6.93883,16.4798,1.83517,-0.0620601
101,0.998378,-0.0034147,0.156831,0.0531825,6.94065,16.4834,1.83699,-0.0584728
102,0.998802,-0.00306359,0.156609,0.0533226,6.94206,16.4867,1.8384,-0.0552336
103,0.999079,-0.00272643,0.156462,0.0534007,6.94312,16.4896,1.83946,-0.0523386
104,0.999132,-0.00242167,0.156457,0.0533827,6.94402,16.4921,1.84035,-0.0497645
105,0.999008,-0.00215715,0.156578,0.0532884,6.94494,16.4944,1.84128,-0.0474751
106,0.998835,-0.00192743,0.156747,0.0531748,6.94602,16.4965,1.84236,-0.0454328
107,0.998751,-0.0017181,0.156872,0.0531022,6.94723,16.4983,1.84357,-0.0436101
108,0.998828,-0.00151417,0.156896,0.0531029,6.94844,16.4999,1.84478,-0.0419939
109,0.999045,-0.00130759,0.156821,0.0531679,6.94951,16.5013,1.84584,-0.0405831
110,0.999311,-0.00110034,0.156698,0.0532571,6.95033,16.5025,1.84666,-0.0393791
111,0.999519,-0.000901904,0.156599,0.0533232,6.95091,16.5035,1.84725,-0.038378
112,0.999603,-0.000723302,0.156573,0.0533369,6.95135,16.5043,1.84769,-0.0375654
113,0.999568,-0.000570992,0.156628,0.0532996,6.95177,16.505,1.8481,-0.0369182
114,0.999475,-0.000443895,0.156727,0.053239,6.95224,16.5055,1.84858,-0.0364108
115,0.999408,-0.000334624,0.156817,0.0531912,6.9528,16.5059,1.84914,-0.0360215
116,0.999424,-0.000233783,0.156857,0.0531815,6.95339,16.5062,1.84972,-0.0357373
117,0.999529,-0.000134726,0.156836,0.0532128,6.95391,16.5064,1.85025,-0.0355531
118,0.999681,-3.63508e-5,0.156775,0.0532667,6.95431,16.5064,1.85064,-0.0354675
119,0.999819,5.73379e-5,0.156713,0.0533155,6.95456,16.5065,1.85089,-0.035478
120,0.999892,0.000140213,0.156687,0.0533378,6.9547,16.5066,1.85104,-0.0355768
121,0.999891,0.000207712,0.156709,0.0533283,6.95481,16.5067,1.85115,-0.0357508
122,0.999841,0.00025928,0.156764,0.0532987,6.95494,16.507,1.85128,-0.0359843
123,0.999791,0.000298435,0.156825,0.0532695,6.95513,16.5072,1.85146,-0.0362631
124,0.999779,0.000330763,0.156863,0.0532585,6.95534,16.5076,1.85168,-0.0365777
125,0.999821,0.000361074,0.156865,0.0532718,6.95554,16.5079,1.85188,-0.0369236
126,0.999899,0.000391304,0.156838,0.0533024,6.95568,16.5083,1.85202,-0.0372998
127,0.99998,0.000420147,0.156803,0.0533351,6.95574,16.5087,1.85208,-0.0377055
128,1.00003,0.000444379,0.156783,0.0533558,6.95576,16.5091,1.85207,-0.0381378
129,1.00004,0.000460962,0.156789,0.0533578,6.95579,16.5096,1.85204,-0.0385905
130,1.00001,0.000468818,0.156818,0.053345,6.95582,16.51,1.85201,-0.0390554
131,0.999977,0.000469355,0.156856,0.0533282,6.95583,16.5105,1.85201,-0.0395245
132,0.999956,0.000465613,0.156886,0.0533189,6.95586,16.511,1.85205,-0.0399919
133,0.999965,0.000460736,0.156896,0.0533231,6.9559,16.5114,1.85209,-0.0404551
134,1,0.000456519,0.156887,0.0533392,6.95592,16.5119,1.8521,-0.0409137
135,1.00004,0.000452821,0.156869,0.0533596,6.95594,16.5124,1.85208,-0.0413684
136,1.00008,0.000448065,0.156855,0.0533752,6.956,16.5128,1.85202,-0.0418189
137,1.00008,0.000440362,0.156854,0.0533806,6.95608,16.5132,1.85194,-0.0422631
138,1.00007,0.000428654,0.156869,0.0533761,6.95616,16.5137,1.85186,-0.0426976
139,1.00004,0.000413302,0.156891,0.0533669,6.95622,16.5141,1.85181,-0.0431186
140,1.00002,0.000395832,0.156912,0.05336,6.95625,16.5145,1.85177,-0.0435231
141,1.00002,0.000378126,0.156923,0.05336,6.95627,16.5149,1.85175,-0.0439101
142,1.00003,0.000361525,0.156922,0.0533676,6.9563,16.5153,1.85173,-0.0442799
143,1.00005,0.000346297,0.156913,0.0533793,6.95634,16.5156,1.85168,-0.0446338
144,1.00007,0.000331727,0.156904,0.0533898,6.9564,16.516,1.85162,-0.0449728
145,1.00008,0.000316688,0.156902,0.0533951,6.95647,16.5163,1.85155,-0.0452971
146,1.00007,0.000300318,0.156908,0.0533942,6.95655,16.5166,1.85148,-0.0456056
147,1.00005,0.000282523,0.15692,0.0533894,6.95661,16.5169,1.85142,-0.045897
148,1.00004,0.000263959,0.156934,0.0533846,6.95665,16.5172,1.85137,-0.0461702
149,1.00003,0.000245666,0.156943,0.0533831,6.95668,16.5174,1.85134,-0.046425
150,1.00003,0.000228537,0.156945,0.053386,6.95671,16.5176,1.85131,-0.0466621
151,1.00004,0.00021291,0.156941,0.0533922,6.95674,16.5179,1.85128,-0.0468829
