"time","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y","y_11.y","y_22.y","r_11.y","r_22.y"
120,53.29,25.2342,53.29,-25.2342,0.857618,0.26426,1,0
121,53.4317,25.498,53.4317,-25.498,0.858936,0.263217,1,0
122,53.5721,25.7607,53.5721,-25.7607,0.860225,0.262169,1,0
123,53.7113,26.0223,53.7113,-26.0223,0.861484,0.261115,1,0
124,53.8492,26.2829,53.8492,-26.2829,0.862716,0.260055,1,0
125,53.9859,26.5424,53.9859,-26.5424,0.863921,0.258991,1,0
126,54.1214,26.8009,54.1214,-26.8009,0.865099,0.257923,1,0
127,54.2557,27.0583,54.2557,-27.0583,0.866253,0.256852,1,0
128,54.3889,27.3146,54.3889,-27.3146,0.867382,0.255776,1,0
129,54.5209,27.5698,54.5209,-27.5698,0.868488,0.254698,1,0
130,54.6519,27.824,54.6519,-27.824,0.869571,0.253617,1,0
131,54.7818,28.077,54.7818,-28.077,0.870632,0.252534,1,0
132,54.9107,28.329,54.9107,-28.329,0.871671,0.251449,1,0
133,55.0385,28.5799,55.0385,-28.5799,0.87269,0.250362,1,0
134,55.1653,28.8298,55.1653,-28.8298,0.87369,0.249274,1,0
135,55.2911,29.0785,55.2911,-29.0785,0.87467,0.248184,1,0
136,55.416,29.3261,55.416,-29.3261,0.875631,0.247094,1,0
137,55.5398,29.5727,55.5398,-29.5727,0.876575,0.246003,1,0
138,55.6628,29.8181,55.6628,-29.8181,0.877501,0.244912,1,0
139,55.7849,30.0625,55.7849,-30.0625,0.878411,0.243821,1,0
140,55.906,30.3058,55.906,-30.3058,0.879304,0.24273,1,0
141,56.0263,30.548,56.0263,-30.548,0.880181,0.241639,1,0
142,56.1456,30.7891,56.1456,-30.7891,0.881043,0.240549,1,0
143,56.2642,31.0291,56.2642,-31.0291,0.881891,0.23946,1,0
144,56.3819,31.268,56.3819,-31.268,0.882724,0.238371,1,0
145,56.4987,31.5058,56.4987,-31.5058,0.883543,0.237284,1,0
146,56.6148,31.7425,56.6148,-31.7425,0.884349,0.236198,1,0
147,56.73,31.9782,56.73,-31.9782,0.885142,0.235113,1,0
148,56.8445,32.2128,56.8445,-32.2128,0.885923,0.23403,1,0
149,56.9582,32.4463,56.9582,-32.4463,0.886691,0.232949,1,0
150,57.0711,32.6787,57.0711,-32.6787,0.887447,0.23187,1,0
151,57.1833,32.91,57.1833,-32.91,0.888193,0.230793,1,0
152,57.2948,33.1403,57.2948,-33.1403,0.888927,0.229718,1,0
153,57.4055,33.3694,57.4055,-33.3694,0.88965,0.228645,1,0
154,57.5155,33.5976,57.5155,-33.5976,0.890363,0.227575,1,0
155,57.6247,33.8246,57.6247,-33.8246,0.891066,0.226507,1,0
156,57.7333,34.0506,57.7333,-34.0506,0.891759,0.225442,1,0
157,57.8412,34.2755,57.8412,-34.2755,0.892443,0.224379,1,0
158,57.9485,34.4993,57.9485,-34.4993,0.893117,0.223319,1,0
159,58.055,34.7221,58.055,-34.7221,0.893783,0.222263,1,0
160,58.1609,34.9439,58.1609,-34.9439,0.89444,0.221209,1,0
161,58.2661,35.1645,58.2661,-35.1645,0.895088,0.220158,1,0
162,58.3707,35.3842,58.3707,-35.3842,0.895729,0.21911,1,0
163,58.4747,35.6028,58.4747,-35.6028,0.896361,0.218066,1,0
164,58.578,35.8203,58.578,-35.8203,0.896986,0.217025,1,0
165,58.6807,36.0368,58.6807,-36.0368,0.897603,0.215987,1,0
166,58.7828,36.2523,58.7828,-36.2523,0.898213,0.214953,1,0
167,58.8843,36.4667,58.8843,-36.4667,0.898816,0.213922,1,0
168,58.9852,36.6801,58.9852,-36.6801,0.899412,0.212894,1,0
169,59.0855,36.8925,59.0855,-36.8925,0.900001,0.21187,1,0
170,59.1852,37.1039,59.1852,-37.1039,0.900584,0.21085,1,0
171,59.2843,37.3142,59.2843,-37.3142,0.901161,0.209833,1,0
172,59.3829,37.5235,59.3829,-37.5235,0.901731,0.208821,1,0
173,59.4808,37.7319,59.4808,-37.7319,0.902295,0.207811,1,0
174,59.5783,37.9392,59.5783,-37.9392,0.902854,0.206806,1,0
